FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130601;0000;54,125;;;
130602;0000;67,2916;;;
130603;0000;76,0416;;;
130604;0000;79,5;;;
130605;0000;96,8333;;;
130606;0000;67,7916;;;
130607;0000;66,0833;;;
130608;0000;49,8695;;;
130609;0000;44,7083;;;
130610;0000;61,6666;;;
130611;0000;55,25;;;
130612;0000;56,625;;;
130613;0000;44,0833;;;
130614;0000;49,5652;;;
130615;0000;52,5;;;
130616;0000;43,375;;;
130617;0000;63,9565;;;
130618;0000;;;;
130619;0000;;;;
130620;0000;;;;
130621;0000;;;;
130622;0000;;;;
130623;0000;;;;
130624;0000;;;;
130625;0000;;;;
130626;0000;;;;
130627;0000;;;;
130628;0000;;;;
130629;0000;;;;
130630;0000;;;;
130701;0000;;;;
130702;0000;;;;
130703;0000;;;;
130704;0000;;;;
130705;0000;;;;
130706;0000;;;;
130707;0000;;;;
130708;0000;;;;
130709;0000;;;;
130710;0000;;;;
130711;0000;;;;
130712;0000;;;;
130713;0000;68,625;;;
130714;0000;64,7916;;;
130715;0000;67,4166;;;
130716;0000;86,5833;;;
130717;0000;93,7916;;;
130718;0000;84;;;
130719;0000;67,2083;;;
130720;0000;51,5833;;;
130721;0000;50,5416;;;
130722;0000;61,3333;;;
130723;0000;46,5;;;
130724;0000;53,8333;;;
130725;0000;63,3333;;;
130726;0000;79,5;;;
130727;0000;56,7083;;;
130728;0000;59,875;;;
130729;0000;49,0833;;;
130730;0000;40,6666;;;
130731;0000;38,125;;;
130801;0000;31,75;;;
130802;0000;43,9166;;;
130803;0000;47,1666;;;
130804;0000;47,25;;;
130805;0000;59,25;;;
130806;0000;48;;;
130807;0000;56,6666;;;
130808;0000;44,3333;;;
130809;0000;46,7083;;;
130810;0000;49,9091;;;
130811;0000;57,7083;;;
130812;0000;48,125;;;
130813;0000;38,9583;;;
130814;0000;53,1666;;;
130815;0000;59,75;;;
130816;0000;40,875;;;
130817;0000;48,8333;;;
130818;0000;;;564,791;
130819;0000;;;383,708;
130820;0000;43,0555;;;
130821;0000;45,2916;;;
130822;0000;42,125;;;
130823;0000;54,875;;;
130824;0000;52,125;;;
130825;0000;30,6667;;;
130826;0000;56;;;
130827;0000;64,8333;;;
130828;0000;50,6666;;;
130829;0000;40,125;;;
130830;0000;38,9166;;;
130831;0000;34,125;;;
130901;0000;29,9583;;;
130902;0000;39,2916;;;
130903;0000;48,5;;;
130904;0000;52,625;;;
130905;0000;44,625;;;
130906;0000;48,9166;;;
130907;0000;37,125;;;
130908;0000;51,0833;;;
130909;0000;39,8333;;;
130910;0000;45;;;
130911;0000;46,375;;;
130912;0000;41,875;;;
130913;0000;39,0833;;;
130914;0000;34,9583;;;
130915;0000;36,1666;;;
130916;0000;45,4166;;;
130917;0000;53,3333;;;
130918;0000;49,875;;;
130919;0000;49,7083;;;
130920;0000;43,6666;;;
130921;0000;35,4583;;;
130922;0000;42,9583;;;
130923;0000;51,375;;;
130924;0000;45,5833;;;
130925;0000;48,2916;;;
