FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130601;0000;22,3333;;;
130602;0000;25,5833;;;
130603;0000;43,5833;;;
130604;0000;42,3333;;;
130605;0000;49,1666;;;
130606;0000;32,4583;;;
130607;0000;30,125;;;
130608;0000;19,2273;;;
130609;0000;20,4583;;;
130610;0000;29;;;
130611;0000;24,5417;;;
130612;0000;19,375;;;
130613;0000;13,9583;;;
130614;0000;16,7083;;;
130615;0000;16,2083;;;
130616;0000;18,4167;;;
130617;0000;37,375;;;
130618;0000;31,9167;;;
130619;0000;15,2917;;;
130620;0000;17,6667;;;
130621;0000;15,75;;;
130622;0000;18,4167;;;
130623;0000;30;;;
130624;0000;15,9583;;;
130625;0000;15,625;;;
130626;0000;13;;;
130627;0000;18,9167;;;
130628;0000;17,3333;;;
130629;0000;18,7391;;;
130630;0000;25,9583;;;
130701;0000;29,3333;;;
130702;0000;34;;;
130703;0000;44,2083;;;
130704;0000;37,375;;;
130705;0000;29,3333;;;
130706;0000;20,125;;;
130707;0000;18,4167;;;
130708;0000;19;;;
130709;0000;13,0417;;;
130710;0000;8,41666;;;
130711;0000;11,3333;;;
130712;0000;22,7826;;;
130713;0000;29,3333;;;
130714;0000;32,9583;;;
130715;0000;37,625;;;
130716;0000;57,4166;;;
130717;0000;56,2916;;;
130718;0000;47,875;;;
130719;0000;30,6667;;;
130720;0000;16,125;;;
130721;0000;14,9167;;;
130722;0000;9,875;;;
130723;0000;10,625;;;
130724;0000;23,5;;;
130725;0000;35,875;;;
130726;0000;39,7083;;;
130727;0000;24,1667;;;
130728;0000;23,0417;;;
130729;0000;14,7083;;;
130730;0000;;;;
130731;0000;12,5833;;;
130801;0000;9,66666;;;
130802;0000;13;;;
130803;0000;14,875;;;
130804;0000;18,7083;;;
130805;0000;29,5;;;
130806;0000;20,7917;;;
130807;0000;23,7917;;;
130808;0000;15,125;;;
130809;0000;13;;;
130810;0000;18,0454;;;
130811;0000;30,2917;;;
130812;0000;24,2917;;;
130813;0000;11,875;;;
130814;0000;24,5833;;;
130815;0000;33,8333;;;
130816;0000;17,875;;;
130817;0000;27,625;;;
130818;0000;34,2083;;;
130819;0000;29,2917;;;
130820;0000;20;;;
130821;0000;20,8333;;;
130822;0000;17;;;
130823;0000;29,7917;;;
130824;0000;24,5;;;
130825;0000;10,75;;;
130826;0000;16,375;;;
130827;0000;28,75;;;
130828;0000;25,0833;;;
130829;0000;18,5833;;;
130830;0000;16,5833;;;
130831;0000;13,4167;;;
130901;0000;13,1667;;;
130902;0000;17,875;;;
130903;0000;28,9583;;;
130904;0000;24,2083;;;
130905;0000;19,7917;;;
130906;0000;22,75;;;
130907;0000;19,2083;;;
130908;0000;26,875;;;
130909;0000;10,9167;;;
130910;0000;15,5417;;;
130911;0000;14,625;;;
130912;0000;12,5;;;
130913;0000;12,9167;;;
130914;0000;12,4583;;;
130915;0000;12,6667;;;
130916;0000;12,25;;;
130917;0000;14,875;;;
130918;0000;21,5;;;
130919;0000;29,25;;;
130920;0000;21,4167;;;
130921;0000;14,7917;;;
130922;0000;15,0833;;;
130923;0000;17,125;;;
130924;0000;18,125;;;
130925;0000;24,6667;;;
130926;0000;26;;;
130927;0000;14,625;;;
130928;0000;17,9583;;;
130929;0000;20,5417;;;
130930;0000;16,875;;;
131001;0000;15,75;;;
131002;0000;14,9583;;;
131003;0000;15,95;;;
131004;0000;;;;
131005;0000;23,6667;;;
131006;0000;18,4167;;;
131007;0000;15,1667;;;
131008;0000;12,6667;;;
131009;0000;12,5417;;;
131010;0000;12,375;;;
131011;0000;9,54166;;;
131012;0000;7,75;;;
131013;0000;6,875;;;
131014;0000;7,45833;;;
131015;0000;15,125;;;
131016;0000;17,4583;;;
131017;0000;15,375;;;
131018;0000;10,1667;;;
131019;0000;8,625;;;
131020;0000;6,04166;;;
131021;0000;8,95833;;;
131022;0000;9,45833;;;
131023;0000;6,83333;;;
131024;0000;10,375;;;
131025;0000;11,4583;;;
131026;0000;10,0417;;;
131027;0000;9,75;;;
131028;0000;12,4583;;;
131029;0000;7,33333;;;
131030;0000;8,25;;;
131031;0000;5,75;;;
131101;0000;5,83333;;;
131102;0000;10,9167;;;
131103;0000;9,91666;;;
131104;0000;18,2917;;;
131105;0000;12,875;;;
131106;0000;11;;;
131107;0000;8,25;;;
131108;0000;10,8333;;;
131109;0000;16,125;;;
131110;0000;9;;;
131111;0000;8,95833;;;
131112;0000;14,9167;;;
131113;0000;19,0833;;;
131114;0000;18,5;;;
131115;0000;12,7917;;;
131116;0000;12,5833;;;
131117;0000;13,9167;;;
131118;0000;10,5;;;
131119;0000;12,1667;;;
131120;0000;9,75;;;
131121;0000;12,4583;;;
131122;0000;11,3333;;;
131123;0000;11,25;;;
131124;0000;9,25;;;
131125;0000;10,0417;;;
131126;0000;8,5;;;
131127;0000;9,125;;;
131128;0000;10,2917;;;
131129;0000;10,375;;;
131130;0000;9,54166;;;
131201;0000;9,58333;;;
131202;0000;10,7917;;;
131203;0000;12,4583;;;
131204;0000;;;201,708;
131205;0000;;;203,136;
131206;0000;;;49,875;
131207;0000;;;44,75;
131208;0000;;;;
131209;0000;;;;
131210;0000;7;;;
131211;0000;5,79166;;;
131212;0000;6,91666;;;
131213;0000;10,875;;;
131214;0000;8,04166;;;
131215;0000;6,75;;;
131216;0000;5,875;;;
131217;0000;5,83333;;;
131218;0000;4,91666;;;
131219;0000;4,875;;;
131220;0000;4,83333;;;
131221;0000;3,66666;;;
131222;0000;6,04166;;;
131223;0000;5;;;
131224;0000;3,79166;;;
131225;0000;3,33333;;;
131226;0000;5,45833;;;
131227;0000;5,04166;;;
131228;0000;6,16666;;;
131229;0000;5,41666;;;
131230;0000;6,91666;;;
131231;0000;10,6956;;;
140101;0000;12,6667;;;
140102;0000;8,29166;;;
140103;0000;9,5;;;
140104;0000;11,5;;;
140105;0000;8,91666;;;
140106;0000;8,29166;;;
140107;0000;9,66666;;;
140108;0000;7,25;;;
140109;0000;5,70833;;;
140110;0000;9,95833;;;
140111;0000;9,79166;;;
140112;0000;13,3333;;;
140113;0000;8,70833;;;
140114;0000;7,70833;;;
140115;0000;8,54166;;;
140116;0000;9,75;;;
140117;0000;5,66666;;;
140118;0000;5,34782;;;
140119;0000;5,29166;;;
140120;0000;5,375;;;
140121;0000;6,29166;;;
140122;0000;5,58333;;;
140123;0000;6,33333;;;
140124;0000;6,29166;;;
140125;0000;7,08333;;;
140126;0000;6,85;;;
140127;0000;6,54166;;;
140128;0000;7,91666;;;
140129;0000;13,1667;;;
140130;0000;10,1667;;;
140131;0000;9,13043;;;
140201;0000;10,2917;;;
140202;0000;12,125;;;
140203;0000;12,2917;;;
140204;0000;10,9167;;;
140205;0000;11,1667;;;
140206;0000;11,625;;;
140207;0000;11,875;;;
140208;0000;12,0417;;;
140209;0000;11,7917;;;
140210;0000;14,0833;;;
140211;0000;13,2917;;;
140212;0000;9,375;;;
140213;0000;9,45833;;;
140214;0000;8,875;;;
140215;0000;8,54166;;;
140216;0000;7,25;;;
140217;0000;7,95833;;;
140218;0000;8,04166;;;
140219;0000;8,25;;;
140220;0000;9,125;;;
140221;0000;10,7917;;;
140222;0000;11;;;
140223;0000;10,3158;;;
140224;0000;;;;
140225;0000;9,04166;;;
140226;0000;9,5;;;
140227;0000;9,95833;;;
140228;0000;8,70833;;;
140301;0000;9,58333;;;
140302;0000;10,0833;;;
140303;0000;9,5;;;
140304;0000;8,95833;;;
140305;0000;9;;;
140306;0000;8,86363;;;
140307;0000;10,125;;;
140308;0000;14,0833;;;
140309;0000;13,3333;;;
140310;0000;14,9583;;;
140311;0000;9,75;;;
140312;0000;9,44444;;;
140313;0000;;;;
140314;0000;7,625;;;
140315;0000;10,0833;;;
140316;0000;10;;;
140317;0000;6,45833;;;
140318;0000;9,5;;;
140319;0000;10,0417;;;
140320;0000;7,58333;;;
140321;0000;8,21738;;;
140322;0000;10,1667;;;
140323;0000;9,33333;;;
140324;0000;8,66666;;;
140325;0000;10;;;
140326;0000;9;;;
140327;0000;8,31818;;;
140328;0000;8,29166;;;
140329;0000;6,20833;;;
140330;0000;8,5;;;
140331;0000;9,875;;;
140401;0000;10,2083;;;
140402;0000;7,20833;;;
140403;0000;7,125;;;
140404;0000;5,125;;;
140405;0000;10,2083;;;
140406;0000;10,4583;;;
140407;0000;10,9583;;;
140408;0000;11,125;;;
140409;0000;13,4583;;;
140410;0000;12,5417;;;
140411;0000;12,5833;;;
140412;0000;16,3333;;;
140413;0000;19,2917;;;
140414;0000;19,0833;;;
140415;0000;17,6667;;;
140416;0000;20,625;;;
140417;0000;17,375;;;
140418;0000;14,2083;;;
140419;0000;12,625;;;
140420;0000;17,4583;;;
140421;0000;20,5;;;
140422;0000;26,8333;;;
140423;0000;21,875;;;
140424;0000;19,7917;;;
140425;0000;19,9583;;;
140426;0000;15,8333;;;
140427;0000;9,875;;;
140428;0000;10,2917;;;
140429;0000;8,91304;;;
140430;0000;7,41666;;;
140501;0000;7;;;
140502;0000;12,1667;;;
140503;0000;16,3333;;;
140504;0000;12,5;;;
140505;0000;11,375;;;
140506;0000;15,8696;;;
140507;0000;11,625;;;
140508;0000;19,7917;;;
140509;0000;19,75;;;
140510;0000;17,3333;;;
140511;0000;12,25;;;
140512;0000;8,16666;;;
140513;0000;9;;;
140514;0000;11,5833;;;
140515;0000;15,9583;;;
140516;0000;17,4583;;;
140517;0000;15,0833;;;
140518;0000;17,125;;;
140519;0000;24,7083;;;
140520;0000;24,6667;;;
140521;0000;14,375;;;
140522;0000;10;;;
140523;0000;8,375;;;
140524;0000;7,5;;;
140525;0000;6;;;
140526;0000;11,9167;;;
140527;0000;25,75;;;
140528;0000;18,75;;;
140529;0000;15,9167;;;
140530;0000;12;;;
140531;0000;13,7083;;;
140601;0000;;;198,952;
140602;0000;20,2;;;
140603;0000;17,6667;;;
140604;0000;10,8095;;;
140605;0000;11,4583;;;
140606;0000;8,41666;;;
140607;0000;6,875;;;
140608;0000;7,08695;;;
140609;0000;14,381;;;
140610;0000;18;;;
140611;0000;19,2083;;;
140612;0000;12,5;;;
140613;0000;12,6667;;;
140614;0000;13,5833;;;
140615;0000;25,5833;;;
140616;0000;22,9583;;;
140617;0000;15,625;;;
140618;0000;15,5;;;
140619;0000;16,7083;;;
140620;0000;15,0417;;;
140621;0000;14,125;;;
140622;0000;11,1667;;;
140623;0000;16,0833;;;
140624;0000;17,0833;;;
140625;0000;10;;;
140626;0000;7,20833;;;
140627;0000;13,7917;;;
140628;0000;12,9167;;;
140629;0000;18,75;;;
140630;0000;23,2917;;;
140701;0000;15,3043;;;
140702;0000;;;7,05;
140703;0000;;;;
140704;0000;;;;
140705;0000;6,75;;;
140706;0000;12,7083;;;
