Dia - Mes,Temperatura media,Fecha Momento minima,Temperatura minima,Fecha Momento maxima,Temperatura maxima
180101,19.7,130101,14.9,070101,27.7
180102,19.6,030102,14.9,070102,25.0
180103,19.8,970103,15.0,980103,25.1
180104,19.7,930104,15.0,980104,25.5
180105,19.9,030105,14.8,170105,26.8
180106,20.0,940106,15.0,170106,25.8
180107,20.0,130107,14.6,980107,27.9
180108,20.1,130108,14.7,140108,27.2
180109,20.1,110109,14.9,140109,26.5
180110,20.0,960110,14.5,950110,25.9
180111,20.0,110111,15.0,050111,26.7
180112,20.0,950112,15.0,980112,26.0
180113,20.2,120113,15.1,950113,26.6
180114,20.3,990114,14.7,980114,26.1
180115,20.4,120115,15.0,980115,26.3
180116,20.4,120116,14.7,170116,26.8
180117,20.6,120117,15.3,980117,31.8
180118,20.5,990118,14.0,080118,27.4
180119,20.4,990119,14.7,170119,28.6
180120,20.4,110120,14.5,170120,27.7
180121,20.4,990121,14.7,170121,30.3
180122,20.4,960122,15.3,170122,28.3
180123,20.3,910123,15.5,170123,28.4
180124,20.4,020124,13.6,950124,26.4
180125,20.3,090125,15.3,170125,26.1
180126,20.4,020126,14.8,170126,29.3
180127,20.4,050127,15.3,170127,27.5
180128,20.4,070128,15.1,170128,26.5
180129,20.6,070129,14.7,030129,27.3
180130,20.5,970130,15.2,030130,28.2
180131,20.3,050131,13.8,160131,26.4
180201,20.5,050201,12.9,170201,27.0
180202,20.3,050202,12.9,170202,27.6
180203,20.3,050203,14.5,980203,26.0
180204,20.3,050204,14.0,980204,26.0
180205,20.4,970205,14.9,130205,26.0
180206,20.4,120206,14.7,900206,27.9
180207,20.2,050207,14.2,030207,25.4
180208,20.2,050208,14.5,130208,26.1
180209,20.2,000209,14.8,980209,26.8
180210,20.3,.,14.7,980210,26.7
180211,20.3,000211,15.1,890211,26.0
180212,20.1,960212,15.4,120212,27.5
180213,20.2,000213,15.0,890213,25.6
180214,20.2,050214,14.6,060214,26.8
180215,20.3,960215,14.7,060215,26.1
180216,20.3,960216,15.2,890216,25.6
180217,20.1,050217,14.9,010217,25.1
180218,20.1,000218,14.7,090218,25.7
180219,20.1,000219,14.9,150219,29.1
180220,20.1,900220,15.1,980220,25.6
180221,20.1,130221,14.3,980221,27.7
180222,20.0,910222,15.0,160222,28.0
180223,20.0,070223,14.9,170223,27.6
180224,20.0,120224,14.4,170224,27.0
180225,20.0,950225,14.4,170225,27.0
180226,20.0,080226,14.5,170226,27.6
180227,19.9,080227,14.1,170227,27.1
180228,19.8,950228,13.8,170228,25.8
180229,19.2,960229,14.9,160229,24.7
180301,19.6,950301,14.4,980301,25.2
180302,19.6,000302,14.4,970302,26.2
180303,19.6,000303,13.5,.,30.6
180304,19.7,000304,13.6,970304,27.9
180305,19.7,140305,14.0,970305,26.2
180306,19.6,900306,14.4,050306,25.4
180307,19.6,090307,14.7,010307,25.9
180308,19.5,070308,14.6,080308,24.8
180309,19.4,100309,14.7,000309,25.6
180310,19.4,070310,14.5,140310,24.6
180311,19.3,070311,15.0,920311,25.4
180312,19.5,080312,14.4,150312,25.6
180313,19.4,080313,13.9,990313,25.8
180314,19.2,080314,14.0,020314,25.0
180315,19.1,040315,13.5,980315,27.3
180316,19.2,050316,13.7,980316,25.4
180317,19.1,040317,13.4,920317,25.1
180318,19.1,900318,14.0,090318,24.8
180319,19.1,130319,13.5,920319,24.5
180320,18.9,080320,13.9,920320,24.9
180321,19.0,130321,13.9,150321,26.0
180322,18.7,180322,13.3,150322,24.1
180323,18.7,910323,13.0,150323,26.5
180324,18.7,000324,14.0,150324,26.6
180325,18.7,970325,13.6,920325,24.2
180326,18.6,060326,13.6,920326,28.3
180327,18.8,050327,13.2,920327,26.0
180328,18.4,060328,13.1,920328,24.4
180329,18.4,060329,13.4,000329,24.2
180330,18.4,070330,13.2,140330,26.1
180331,18.3,890331,12.9,100331,25.4
180401,18.5,130401,12.9,920401,23.9
180402,18.4,030402,12.9,980402,23.4
180403,18.2,030403,12.2,980403,23.6
180404,17.9,130404,11.9,980404,23.8
180405,17.8,030405,11.8,160405,23.6
180406,17.8,000406,12.3,920406,24.2
180407,17.7,000407,12.3,980407,24.8
180408,17.6,030408,10.0,980408,23.7
180409,17.7,000409,11.1,120409,27.7
180410,17.6,060410,11.5,120410,25.7
180411,17.5,060411,11.5,900411,25.2
180412,17.4,080412,10.9,000412,26.1
180413,17.6,050413,11.0,000413,28.3
180414,17.5,060414,11.4,000414,24.4
180415,17.4,130415,11.3,890415,24.1
180416,17.2,130416,11.1,150416,22.3
180417,17.1,130417,11.6,170417,22.6
180418,17.2,030418,11.5,930418,23.4
180419,17.1,030419,11.2,890419,24.8
180420,16.9,020420,11.4,120420,22.6
180421,16.7,080421,10.9,.,21.8
180422,16.8,000422,11.4,090422,22.8
180423,16.6,080423,11.2,060423,23.2
180424,16.9,130424,11.0,050424,24.7
180425,16.7,130425,11.3,050425,23.9
180426,16.3,910426,10.4,150426,21.4
180427,16.4,130427,10.9,930427,21.5
180428,16.3,900428,9.9,180428,23.7
180429,16.5,900429,10.6,890429,24.0
180430,16.3,010430,9.8,160430,22.5
180501,16.2,010501,9.6,100501,24.1
180502,16.1,010502,9.5,970502,22.1
180503,16.2,080503,8.7,970503,24.2
180504,16.2,890504,9.8,940504,23.3
180505,16.4,890505,10.0,010505,23.9
